时间,新增粉丝数
2021-03-31,114006
2021-03-30,24564
2021-03-29,29585
2021-03-28,31284
2021-03-27,165999
2021-03-26,108990
2021-03-25,131992
2021-03-24,45150
2021-03-23,39874
2021-03-22,20160
2021-03-21,89541
2021-03-20,282039
2021-03-19,69731
2021-03-18,-5840
2021-03-17,-4793
2021-03-16,-16859
2021-03-15,-1608
2021-03-14,258528
2021-03-13,6094
2021-03-12,151647
2021-03-11,296402
2021-03-10,118118
2021-03-09,65853
2021-03-08,125306
2021-03-07,23671
2021-03-06,25016
2021-03-05,79794
2021-03-04,152481
2021-03-03,175053
2021-03-02,-3625
2021-03-01,-9011
